Date,Time,Workstream,Task,Owner,Status,Evidence_Link_or_Proof,Notes
2026-02-10,08:00,Account Setup,Create official WhatsApp Business account,Community Lead,TODO,,
2026-02-10,08:20,Account Setup,Enable two-step verification and recovery email,Community Lead,TODO,,
2026-02-10,08:40,Channel,Create official Channel with approved name,Community Lead,TODO,,
2026-02-10,09:00,Community,Create Community and 5 groups,Community Lead,TODO,,
2026-02-10,09:30,Trust,Pin anti-fraud and group rules in all groups,Helpdesk Lead,TODO,,
2026-02-10,10:00,Content,Publish welcome post (08:30 backlog if needed),Channel Publisher,TODO,,
2026-02-10,11:00,Field,Deploy first two captains to top stands/CNG points,Field Lead,TODO,,
2026-02-10,13:00,Content,Publish midday clarity post,Channel Publisher,TODO,,
2026-02-10,14:00,Helpdesk,Start live helpdesk response window,Helpdesk Agent,TODO,,
2026-02-10,16:00,Reactivation,Send 7-day inactive DM wave A,CRM Support,TODO,,
2026-02-10,18:00,Content,Publish evening demand + target push,Channel Publisher,TODO,,
2026-02-10,20:00,Ops Review,Update KPI row and incident log,Community Lead,TODO,,
2026-02-10,20:15,Dashboard,Generate progress dashboard HTML,Community Lead,TODO,,
2026-02-11,08:00,Content,Post Day-2 morning trust message,Channel Publisher,TODO,,
2026-02-11,09:00,Field,Expand QR onboarding to 2 new locations,Field Lead,TODO,,
2026-02-11,12:00,Reactivation,Send 15-day inactive wave A,CRM Support,TODO,,
2026-02-11,13:00,Content,Post Day-2 scheme clarity message,Channel Publisher,TODO,,
2026-02-11,17:00,Helpdesk,Clear pending tickets and escalate unresolved,Helpdesk Lead,TODO,,
2026-02-11,18:00,Content,Post Day-2 evening completion push,Channel Publisher,TODO,,
2026-02-11,20:00,Ops Review,Daily metrics and action log,Community Lead,TODO,,
