Date,Week,City,Zone,Channel_Followers_Total,Channel_New_Followers,Channel_Posts,Channel_24h_Views_Total,Channel_24h_Median_View_Rate_pct,Channel_Reactions_Total,Community_Members_Total,Community_New_Members,Helpdesk_Queries_Received,Helpdesk_First_Response_Time_Min,Helpdesk_Same_Day_Resolution_pct,Inactive_7d_Contacted,Inactive_7d_Reactivated,Inactive_15d_Contacted,Inactive_15d_Reactivated,Inactive_30d_Contacted,Inactive_30d_Reactivated,Reactivated_Drivers_Total,Trips_by_Reactivated_Drivers,Incentive_Eligible_Drivers,Incentive_Completed_Drivers,Incentive_Completion_pct,Spam_Fraud_Incidents,Open_Escalations,Notes
2026-02-10,7,Mumbai,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Launch baseline row
2026-02-11,7,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-12,7,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,7,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-14,7,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-15,7,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-17,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-18,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-19,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-22,8,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-23,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-26,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-28,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-01,9,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-07,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-08,10,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09,11,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10,11,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11,11,Mumbai,All,,,,,,,,,,,,,,,,,,,,,,,,,
