Date,Day,Shift,Start_Time,End_Time,Role,Primary_Owner,Backup_Owner,Scope,Key_Tasks,Escalation_Contact,Handover_Notes,SLA_Target
2026-02-10,Tuesday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-10,Tuesday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-10,Tuesday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-11,Wednesday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-11,Wednesday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-11,Wednesday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-12,Thursday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-12,Thursday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-12,Thursday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-13,Friday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-13,Friday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-13,Friday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-14,Saturday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-14,Saturday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-14,Saturday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-15,Sunday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-15,Sunday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-15,Sunday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
2026-02-16,Monday,Morning,08:00,12:00,Channel Publisher,,,,Post 08:30 update and monitor reactions,,,"Publish on time"
2026-02-16,Monday,Midday,12:00,16:00,Helpdesk Agent,,,,Handle driver queries and tag escalations,,,"FRT <=120 min"
2026-02-16,Monday,Evening,16:00,20:00,Zone Moderator,,,,Post 18:00 update and manage group quality,,,"Resolve critical flags same day"
