Day,Theme,08:30_Channel_Post,13:00_Channel_Post,18:00_Channel_Post,Community_Action,Reactivation_Cohort,Owner,Primary_KPI
1,Launch Day,"Welcome and channel purpose","How incentive posts will be formatted","Day-end drive push in top zones","Pin rules in all groups and collect FAQs","7-day inactive wave A","Community Lead","Channel followers added"
2,Trust Setup,"Anti-fraud warning and official support route","Simple scheme explainer with example payout","Evening target reminder","Helpdesk intro and SLA announcement","7-day inactive wave B","Helpdesk Lead","Post view rate 24h"
3,Hotspot Education,"Morning hotspot update by zone","Best time windows by zone","Last-mile airport/station push","Zone captains post local demand signals","15-day inactive wave A","Zone Captains","Reactions per post"
4,Scheme Clarity,"Current scheme eligibility recap","Trip target checkpoint message","Final-hours completion nudge","Answer top 10 driver doubts","7-day inactive wave C","Content Owner","Scheme participation"
5,Earnings Proof,"Top driver earning story #1","How to avoid missed incentive conditions","Peak dinner-hour push","Collect 5 driver testimonials","30+ day inactive call batch A","Community Lead","Story engagement"
6,Weekend Prep,"Weekend demand forecast","Saturday strategy tips","Friday evening bonus reminder","Share zone-wise demand board","15-day inactive wave B","Zone Captains","Trips per active driver"
7,Weekly Recap,"Week 1 summary and wins","Common mistakes to avoid next week","Sunday pre-week activation push","Weekly poll in helpdesk group","No outbound nudge day","Community Lead","Poll responses"
8,Week 2 Kickoff,"New week target and motivation","Scheme reminder with exact thresholds","Evening completion push","Refresh pinned messages","7-day inactive wave D","Content Owner","Day-8 active users"
9,Support Quality,"Helpdesk process reminder","How to raise payout issue correctly","Evening FAQ answer post","Run 1-hour live Q&A window","15-day inactive wave C","Helpdesk Lead","Helpdesk FRT"
10,Zone Discipline,"Western zone hotspot card","Central/Harbour hotspot card","Navi Mumbai hotspot card","Moderation sweep and cleanup","30+ day inactive call batch B","Zone Captains","Zone post engagement"
11,Incentive Focus,"Scheme detail refresh","Midday target progress benchmark","Last 3-hour completion push","Escalate unresolved payout tickets","7-day inactive wave E","Helpdesk Lead","Completion conversion"
12,Driver Motivation,"Top driver earning story #2","Tips for acceptance and cancellation hygiene","Prime-time demand push","Share success stories group highlights","15-day inactive wave D","Community Lead","Retention D7"
13,Weekend Acceleration,"Weekend hotspots update","Fuel and break planning tips","Saturday night push","Captain-led voice note update","7-day inactive wave F","Zone Captains","Weekend trips uplift"
14,Weekly Recap,"Week 2 KPI snapshot","What changed based on feedback","Sunday activation prep","Open feedback thread","No outbound nudge day","Community Lead","Feedback count"
15,Week 3 Kickoff,"Reactivation week announcement","Simple rejoin plan for inactive drivers","Evening incentive reminder","Reactivation FAQ in helpdesk","30+ day inactive call batch C","CRM Support","Reactivation starts"
16,Reactivation Push,"Best re-entry slots by zone","Low-target comeback challenge","Completion nudge for comeback users","Tag and assist returning drivers","7-day inactive wave G","CRM Support","Reactivated drivers count"
17,Clarity Day,"Eligibility myths vs facts","Example payout calculations","Final window reminder","Live clarifications in Q&A thread","15-day inactive wave E","Helpdesk Lead","Query resolution rate"
18,Field Onboarding,"Where to find join QR points","Why join channel first","Evening onboarding reminder","Field team posts from stands/CNG","7-day inactive wave H","Field Lead","New member adds"
19,Proof and Trust,"Top driver earning story #3","Safety and scam prevention reminder","Prime-time earnings push","Moderation health check","30+ day inactive call batch D","Community Lead","Spam incidents"
20,Weekend Execution,"Saturday hotspot card","Midday traffic and demand alert","Late evening bonus push","Zone captain live updates","15-day inactive wave F","Zone Captains","Saturday active drivers"
21,Weekly Recap,"Week 3 results and appreciation","Next-week target teaser","Sunday reactivation prep","Collect top issues for SOP update","No outbound nudge day","Community Lead","Weekly active rate"
22,Week 4 Kickoff,"Final week challenge launch","How to maximize completion in 5 days","Evening urgency push","Announce mini captain contest","7-day inactive wave I","Content Owner","Challenge enrollments"
23,Issue Reduction,"Common payout issues and fixes","How to document support cases","Last-mile follow-up push","Escalation list refresh","15-day inactive wave G","Helpdesk Lead","Repeat issue reduction"
24,Zone Optimization,"High-yield routes by time","Zone swaps for better demand","Final-hours hotspot push","Share route tips from captains","30+ day inactive call batch E","Zone Captains","Trips per hour"
25,Completion Drive,"Threshold reminder card","Progress meter update","Near-target boost message","Helpdesk target-support sprint","7-day inactive wave J","Community Lead","Incentive completion rate"
26,Story and Recognition,"Top driver earning story #4","Recognition post for helpers/captains","Evening motivation push","Nominate weekly champions","15-day inactive wave H","Community Lead","Reaction rate"
27,Weekend Finish,"Weekend mega-demand alert","Midday conversion reminder","Night push in top stations","Zone-wise check-in thread","7-day inactive wave K","Zone Captains","Weekend reactivation"
28,Weekly Recap,"Week 4 snapshot","What worked and what did not","Sunday planning prompt","Run satisfaction poll","No outbound nudge day","Community Lead","Satisfaction score"
29,Month-End Prep,"Month-end incentive summary","Pending target reminder","Last 48-hour push","Prioritize unresolved support cases","30+ day inactive call batch F","Helpdesk Lead","Pending cases closed"
30,Month-End Close,"Month close performance card","Next month teaser and improvements","Final gratitude and retention push","Publish next-month operating changes","No outbound nudge day","Community Lead","Month-end active base"
